"origin","dep_delay","arr_delay"
"LGA",-6,-14
"LGA",46,73
"JFK",-4,-23
"LGA",-4,-9
"LGA",-3,-10
"LGA",-3,2
"JFK",-4,-8
"EWR",-4,-26
"JFK",-3,-48
"JFK",0,-30
"JFK",-6,-6
"LGA",40,21
"LGA",12,17
"JFK",-8,-23
"JFK",-5,-32
"JFK",-2,-6
"EWR",-5,-23
"EWR",1,-23
"JFK",1,-14
"JFK",11,24
"EWR",-1,-9
"EWR",-4,3
"EWR",-2,-32
"JFK",-7,-2
"LGA",-9,0
"EWR",-4,-11
"JFK",-2,15
"JFK",-4,-20
"LGA",-4,-3
"EWR",-4,-26
"EWR",-2,-19
"LGA",-2,1
"EWR",30,33
"LGA",-1,-7
"JFK",-1,12
"EWR",15,43
"EWR",0,8
"JFK",1,-41
"JFK",4,1
"EWR",36,37
"LGA",0,4
"EWR",-3,-17
"EWR",10,5
"EWR",3,46
"EWR",-3,11
"LGA",-7,6
"JFK",-4,-11
"EWR",-3,-16
"JFK",-9,-13
"EWR",2,-8
"EWR",15,15
"EWR",-1,6
"EWR",25,31
"EWR",-5,-15
"JFK",-5,-7
"JFK",9,6
"EWR",5,4
"LGA",-2,0
"LGA",-4,-2
"LGA",36,47
"EWR",39,47
"EWR",19,8
"LGA",-5,-22
"EWR",0,16
"JFK",-5,-55
"EWR",14,25
"JFK",-4,-42
"LGA",4,5
"JFK",-9,-35
"JFK",5,-1
"LGA",1,-11
"EWR",-7,-3
"LGA",-4,-1
"JFK",4,5
"EWR",31,24
"EWR",-6,-15
"EWR",-3,2
"EWR",0,6
"LGA",3,2
"EWR",-2,-4
"EWR",-1,-1
"JFK",2,-6
"EWR",-8,13
"EWR",-3,4
"EWR",-2,-2
"EWR",14,18
"EWR",8,9
"EWR",-2,-20
"EWR",90,83
"EWR",5,-14
"JFK",34,45
"EWR",13,-2
"EWR",-2,5
"EWR",14,35
"EWR",-2,9
"EWR",71,96
"EWR",21,44
"LGA",101,107
"EWR",0,-4
"JFK",65,47
"EWR",-4,-13
"EWR",42,38
"EWR",3,8
"EWR",2,7
"LGA",-6,-6
"LGA",-5,-14
"EWR",-8,-30
"JFK",-13,-27
"LGA",0,4
"EWR",67,60
"EWR",25,39
"EWR",11,19
"EWR",29,20
"LGA",29,18
"LGA",29,14
"LGA",0,-8
"JFK",-5,-26
"EWR",46,51
"LGA",1,1
"EWR",-4,6
"JFK",0,0
"EWR",75,85
"LGA",9,11
"LGA",12,8
"LGA",7,-4
"JFK",-3,-1
"LGA",-3,-8
"JFK",-11,-21
"JFK",-7,45
"JFK",0,-8
"JFK",-4,-10
"JFK",-6,-6
"LGA",11,32
"EWR",139,136
"JFK",-5,3
"LGA",-7,15
"EWR",3,4
"LGA",4,34
"EWR",-3,28
"JFK",34,23
"JFK",-2,-17
"EWR",27,14
"JFK",-2,1
"LGA",3,2
"LGA",13,33
"EWR",-2,-5
"JFK",0,-26
"EWR",30,-2
"EWR",33,32
"EWR",21,14
"JFK",11,-1
"JFK",8,-1
"JFK",-3,-13
"JFK",13,6
"EWR",-4,3
"EWR",15,11
"EWR",52,41
"EWR",17,27
"EWR",16,13
"LGA",69,65
"EWR",3,5
"EWR",6,4
"EWR",1,-9
"JFK",-6,3
"JFK",0,-3
"JFK",-5,-23
"JFK",8,0
"JFK",27,14
"JFK",37,46
"EWR",99,119
"JFK",-1,-2
"JFK",14,9
"EWR",0,-37
"JFK",0,-11
"JFK",33,59
"EWR",13,9
"JFK",19,17
"JFK",5,38
"JFK",-4,-1
"JFK",-5,8
"JFK",2,17
"EWR",-3,15
"JFK",-2,0
"EWR",42,35
"EWR",128,130
"JFK",16,25
"JFK",0,45
"JFK",5,-8
"JFK",0,1
"JFK",3,8
"JFK",2,-29
"EWR",70,109
"EWR",-3,0
"EWR",28,13
"EWR",59,69
"EWR",7,-6
"EWR",33,35
"EWR",46,81
"JFK",9,20
"JFK",337,368
"EWR",76,67
"JFK",19,15
"JFK",25,15
"EWR",62,48
"EWR",101,102
"EWR",43,47
"EWR",98,96
"EWR",-2,7
"EWR",2,5
"EWR",104,122
"EWR",13,7
"EWR",14,12
"EWR",79,82
"EWR",-6,-20
"EWR",7,2
"EWR",-3,-6
"EWR",91,82
"EWR",133,131
"EWR",-1,6
"EWR",9,19
"EWR",-3,-28
"EWR",11,14
"EWR",13,15
"EWR",15,5
"EWR",32,45
"EWR",5,5
"JFK",181,166
"EWR",128,141
"EWR",37,43
"EWR",4,-2
"EWR",22,28
"EWR",67,85
"EWR",48,47
"EWR",67,81
"EWR",67,77
"EWR",50,19
"EWR",107,136
"EWR",103,102
"EWR",3,-11
"EWR",1,-8
"EWR",24,29
"EWR",2,17
"EWR",-5,-20
"EWR",13,-8
"EWR",10,-5
"EWR",12,-5
"EWR",164,182
"EWR",40,39
"EWR",31,-25
"EWR",14,20
"LGA",-6,6
"LGA",-6,-6
"EWR",4,-2
"LGA",0,8
"LGA",0,5
"EWR",26,27
"EWR",19,7
"EWR",21,7
"EWR",16,29
"LGA",-10,7
"LGA",-2,25
"EWR",104,82
"LGA",119,110
"LGA",-10,5
"LGA",-7,-17
"LGA",-8,-1
"LGA",-10,-9
"LGA",9,8
"LGA",-3,7
"LGA",-7,5
"LGA",3,5
"LGA",11,34
"LGA",-1,-9
"LGA",9,-1
"LGA",7,5
"LGA",-11,-31
"LGA",-9,-27
"LGA",-6,1
"LGA",-2,-12
"LGA",65,81
"LGA",-8,16
"LGA",-2,-8
"LGA",7,-9
"LGA",-5,5
"LGA",11,19
"LGA",7,12
"LGA",-1,-10
"LGA",-7,0
"LGA",-5,-3
"LGA",-2,-1
"LGA",37,37
"LGA",8,2
"LGA",4,-19
"LGA",32,23
"LGA",37,58
"LGA",68,63
"LGA",-5,-26
"LGA",-3,-9
"LGA",-7,-18
"LGA",-6,-17
"LGA",1,-9
"LGA",-5,-27
"LGA",-10,-24
"LGA",-11,-37
"LGA",-10,-37
"LGA",36,50
"LGA",-8,-18
"LGA",-8,-8
"LGA",-7,-37
"LGA",-7,-16
"LGA",0,-6
"LGA",-4,-15
"LGA",-4,-26
"LGA",-6,-7
"LGA",-4,-30
"LGA",-5,-8
"LGA",-3,1
"LGA",-4,-15
"LGA",-4,-25
"LGA",69,45
"LGA",16,13
"LGA",-1,-18
"LGA",16,23
"LGA",-3,-16
"LGA",3,-20
"LGA",40,33
"LGA",82,85
"LGA",0,-4
"LGA",15,17
"LGA",-9,3
"LGA",102,80
"LGA",8,18
"LGA",61,65
"LGA",106,111
"LGA",-1,-20
"LGA",-4,-1
"LGA",-2,-28
"LGA",90,75
"LGA",5,5
"LGA",6,-1
"LGA",11,21
"LGA",103,89
"LGA",3,11
"LGA",45,37
"LGA",41,28
"LGA",1,12
"LGA",-9,-29
"LGA",-7,-13
"LGA",-4,-9
"LGA",-4,-14
"LGA",-5,-13
"LGA",1,6
"LGA",2,-12
"LGA",3,-8
"LGA",3,5
"LGA",6,-16
"LGA",-4,-18
"LGA",-3,0
"LGA",-6,-13
"LGA",-4,-19
"LGA",-10,-5
"LGA",-7,-12
"LGA",-5,-6
"LGA",-1,-23
"LGA",36,32
"LGA",7,-16
"LGA",4,-24
"LGA",10,-5
"LGA",-3,-6
"LGA",1,-38
"LGA",-9,-1
"LGA",-9,-32
"LGA",-5,-12
"LGA",-3,-13
"LGA",-3,3
"LGA",-4,-6
"LGA",5,18
"LGA",-8,-23
"LGA",-4,15
"LGA",-6,-11
"LGA",34,38
"LGA",41,14
"LGA",12,5
"LGA",0,33
"LGA",-5,-22
"LGA",7,-12
"LGA",-2,-12
"LGA",-5,-9
"LGA",-1,-34
"LGA",2,3
"LGA",6,-6
"LGA",-6,-19
"LGA",0,-1
"LGA",40,31
"LGA",-2,-16
"LGA",-5,-17
"LGA",1,-16
"LGA",-7,-21
"LGA",-10,-18
"LGA",-1,-3
"LGA",0,-3
"LGA",7,29
"LGA",-7,-3
"LGA",-12,-2
"LGA",-6,-25
"LGA",23,-3
"LGA",-7,-22
"EWR",-7,-26
"LGA",19,0
"EWR",-6,-16
"LGA",-3,-22
"EWR",-3,-9
"LGA",-2,-8
"LGA",-5,-2
"EWR",-3,-50
"LGA",0,-16
"EWR",1,-17
"EWR",0,-6
"LGA",7,-12
"EWR",4,-2
"EWR",6,-9
"EWR",-3,-12
"EWR",-3,-33
"LGA",0,-15
"LGA",-7,-17
"EWR",-3,-19
"LGA",-6,-23
"EWR",5,-15
"LGA",-6,-7
"EWR",27,14
"LGA",2,-13
"LGA",-11,-20
"LGA",2,-24
"LGA",1,-23
"EWR",21,-6
"EWR",-10,-30
"LGA",-8,-24
"LGA",-7,-15
"JFK",-7,-20
"LGA",-5,-20
"EWR",-5,-11
"EWR",-5,-47
"JFK",-7,-47
"LGA",-2,-1
"EWR",0,-22
"EWR",5,-17
"EWR",-2,-20
"EWR",38,16
"LGA",-4,-12
"LGA",-7,-19
"EWR",-1,-19
"EWR",19,6
"JFK",-2,-15
"EWR",-1,-3
"LGA",-5,-22
"EWR",-5,-19
"LGA",1,5
"LGA",-9,-20
"LGA",2,0
"JFK",-4,-70
"EWR",-3,-12
"JFK",-2,2
"EWR",14,2
"JFK",1,-12
"EWR",33,30
"EWR",2,-2
"EWR",-6,-5
"EWR",-1,-8
"EWR",-3,-12
"LGA",-5,-15
"LGA",41,27
"JFK",3,7
"LGA",-5,-9
"EWR",-3,-11
"EWR",9,1
"EWR",2,-43
"LGA",-7,-22
"EWR",2,-20
"LGA",-5,-11
"LGA",-3,-8
"LGA",3,-19
"LGA",65,62
"EWR",0,-49
"LGA",1,-10
"EWR",-5,-15
"LGA",15,11
"LGA",-9,-11
"LGA",-7,-28
"LGA",10,-4
"LGA",-5,-12
"LGA",-3,-8
"LGA",2,-13
"LGA",-12,-34
"EWR",-5,-16
"LGA",-4,-16
"EWR",-5,-5
"LGA",-5,-22
"EWR",-1,-27
"EWR",-9,-29
"EWR",1,1
"EWR",6,-18
"LGA",9,-10
"LGA",-4,-16
"LGA",-7,-24
"LGA",-6,-10
"EWR",-4,-6
"LGA",16,-13
"EWR",-1,-1
"EWR",0,-19
"LGA",-5,-3
"EWR",-14,-17
"JFK",-11,-13
"EWR",-6,-12
"JFK",-6,-38
"JFK",-5,-10
"LGA",1,-4
"EWR",-4,-13
"JFK",-3,-23
"LGA",-3,-7
"LGA",-4,3
"LGA",-4,-13
"JFK",5,-45
"EWR",-10,-10
"EWR",-5,-16
"LGA",-3,-10
"EWR",-2,-61
"JFK",0,-34
"EWR",3,-28
"EWR",-6,-11
"JFK",-5,7
"EWR",-5,-14
"JFK",-4,-42
"EWR",12,-3
"EWR",0,-9
"EWR",12,0
"EWR",39,36
"JFK",-7,-12
"LGA",-2,-14
"EWR",40,27
"LGA",-2,-14
"LGA",-7,-8
"LGA",3,-2
"LGA",-17,-18
"LGA",43,37
"LGA",-3,-18
"JFK",14,19
"EWR",-8,-18
"JFK",-2,-4
"LGA",-2,-24
"EWR",1,-27
"LGA",-5,-23
"EWR",-4,-26
"JFK",-2,-7
"LGA",-3,-10
"EWR",-2,-12
"EWR",-2,-13
"LGA",0,-14
"LGA",60,65
"JFK",3,-39
"EWR",32,15
"EWR",13,1
"LGA",155,162
"EWR",6,2
"LGA",-2,9
"EWR",2,-10
"EWR",7,6
"EWR",-6,-5
"LGA",-5,-2
"EWR",0,-7
"JFK",19,24
"EWR",1,-37
"JFK",58,65
"EWR",24,11
"LGA",-1,-1
"EWR",10,18
"LGA",-10,-2
"JFK",-5,-15
"EWR",-2,0
"JFK",-2,-35
"JFK",-2,-34
"EWR",-2,-25
"LGA",19,10
"JFK",-5,-33
"EWR",1,-9
"EWR",13,7
"LGA",12,-7
"EWR",85,81
"EWR",2,-3
"EWR",-1,-6
"EWR",-6,-25
"EWR",-5,7
"LGA",-2,-15
"JFK",49,52
"EWR",-7,-4
"LGA",-4,-24
"LGA",1,-14
"JFK",72,66
"LGA",9,-8
"LGA",-6,-15
"EWR",-3,-3
"JFK",22,21
"EWR",40,31
"LGA",-6,-13
"LGA",-6,-9
"JFK",10,22
"JFK",43,35
"EWR",0,-26
"JFK",19,13
"EWR",3,-5
"EWR",4,-21
"EWR",-2,-17
"EWR",3,-15
"JFK",-7,-23
"LGA",35,12
"LGA",-1,-13
"JFK",34,26
"LGA",-6,-16
"EWR",9,8
"EWR",110,97
"LGA",-5,-13
"LGA",-2,-33
"EWR",-2,-13
"JFK",6,-18
"EWR",-3,-21
"EWR",-6,-17
"EWR",-1,-12
"LGA",-6,0
"EWR",28,14
"LGA",-2,-7
"EWR",-3,3
"JFK",-1,7
"EWR",0,-18
"JFK",-10,-17
"JFK",-3,12
"JFK",10,4
"LGA",-5,-20
"JFK",-1,-9
"EWR",8,-2
"JFK",0,-3
"LGA",4,12
"JFK",-6,3
"JFK",-8,-26
"EWR",16,5
"LGA",-3,-19
"LGA",-6,-27
"JFK",33,36
"LGA",-5,-25
"JFK",-1,13
"LGA",-4,3
"EWR",60,47
"JFK",-8,-2
"JFK",-3,-13
"EWR",118,105
"EWR",-2,-10
"EWR",-1,-1
"LGA",-6,-25
"JFK",5,5
"LGA",41,62
"JFK",3,14
"LGA",34,44
"EWR",-3,9
"JFK",9,13
"JFK",-6,-14
"LGA",5,-10
"LGA",0,-12
"EWR",6,-5
"LGA",6,2
"EWR",7,1
"JFK",12,3
"JFK",-7,-4
"LGA",-1,1
"LGA",10,20
"EWR",-3,9
"EWR",120,109
"LGA",-4,-18
"LGA",-10,-11
"JFK",0,-9
"EWR",10,4
"LGA",-8,-1
"EWR",7,11
"JFK",-6,-13
"EWR",18,-5
"JFK",0,-5
"LGA",-4,3
"EWR",30,-1
"EWR",-2,-15
"JFK",-1,20
"EWR",-1,-10
"EWR",-5,2
"EWR",22,18
"EWR",4,1
"LGA",1,-16
"LGA",38,43
"EWR",52,27
"EWR",-2,1
"JFK",6,-11
"JFK",-5,-19
"JFK",22,32
"LGA",-5,0
"JFK",1,-7
"EWR",13,-9
"EWR",-2,-13
"JFK",6,0
"JFK",-2,-8
"JFK",-1,-49
"JFK",7,-20
"LGA",3,-8
"LGA",30,29
"EWR",1,-13
"LGA",-4,-4
"LGA",42,41
"JFK",3,-32
"EWR",-2,-20
"JFK",14,27
"JFK",-1,-20
"EWR",33,29
"JFK",5,10
"EWR",60,46
"EWR",-4,-5
"LGA",-3,11
"LGA",-6,-9
"JFK",5,-6
"LGA",0,-2
"JFK",123,118
"EWR",3,1
"LGA",-7,-16
"LGA",3,-6
"EWR",-2,-21
"EWR",5,-26
"LGA",10,19
"LGA",-5,-18
"EWR",0,-18
"EWR",-1,-9
"LGA",-2,19
"JFK",30,20
"LGA",-10,-18
"JFK",31,10
"LGA",-4,-2
"JFK",52,15
"EWR",-2,-18
"LGA",15,15
"EWR",27,-5
"EWR",-5,-23
"LGA",-7,-6
"EWR",0,1
"EWR",6,15
"EWR",-5,-26
"EWR",-5,-35
"LGA",25,33
"LGA",-5,-20
"EWR",-4,-17
"LGA",1,-13
"EWR",9,-7
"EWR",12,-4
"JFK",114,98
"EWR",1,-39
"LGA",17,-7
"LGA",-6,-18
"EWR",96,93
"LGA",-8,-20
"EWR",12,-3
"JFK",78,51
"LGA",-6,-11
"EWR",16,-4
"LGA",-3,-9
"EWR",44,43
"LGA",-6,-32
"LGA",-5,-12
"JFK",97,83
"LGA",-6,-11
"EWR",49,49
"EWR",55,53
"LGA",89,75
"EWR",51,37
"LGA",-9,-18
"LGA",18,17
"LGA",-6,-24
"LGA",0,-7
"JFK",-7,-21
"JFK",-6,7
"LGA",12,-5
"LGA",-1,-27
"JFK",2,17
"LGA",-7,-25
"LGA",65,50
"LGA",-9,-16
"JFK",-8,-37
"JFK",-2,-50
"JFK",-6,-22
"LGA",4,19
"LGA",1,10
"LGA",12,-2
"EWR",116,132
"LGA",55,33
"JFK",0,-28
"JFK",4,16
"LGA",0,-16
"LGA",-8,-23
"JFK",26,1
"JFK",-8,-25
"EWR",134,136
"JFK",0,-17
"JFK",0,-33
"LGA",61,36
"JFK",-3,-2
"LGA",-7,-26
"LGA",34,16
"LGA",-9,-37
"JFK",-3,-41
"JFK",-5,-38
"LGA",10,-10
"JFK",-5,-13
"JFK",-3,-4
"JFK",17,-24
"LGA",-2,-28
"LGA",-4,-34
"LGA",-1,39
"LGA",-5,-17
"JFK",-3,-27
"JFK",-3,-18
"EWR",-1,0
"LGA",-1,-33
"LGA",4,-17
"EWR",-9,-3
"EWR",-4,-24
"LGA",2,-13
"LGA",-8,-4
"EWR",2,-5
"JFK",22,-9
"JFK",17,-36
"LGA",9,-3
"EWR",10,-7
"JFK",15,-9
"LGA",15,-2
"LGA",-4,-17
"EWR",1,-9
"LGA",-8,-23
"LGA",-5,-24
"LGA",-1,-16
"EWR",26,13
"LGA",-2,-16
"LGA",-2,-16
"EWR",1,6
"JFK",80,51
"LGA",0,-22
"EWR",-4,-3
"LGA",3,-27
"EWR",-1,-9
"EWR",6,-6
"LGA",6,-13
"EWR",38,28
"JFK",48,9
"LGA",-9,-33
"JFK",72,64
"JFK",-10,3
"EWR",-3,-9
"LGA",-8,-21
"JFK",-6,-23
"LGA",-6,-15
"JFK",-5,-19
"LGA",-6,-19
"JFK",76,47
"LGA",25,39
"EWR",51,35
"LGA",-9,-23
"EWR",25,11
"LGA",38,33
"JFK",17,-8
"JFK",-11,-40
"JFK",-5,5
"EWR",42,41
"LGA",-1,-1
"JFK",0,-10
"EWR",44,49
"LGA",-10,-34
"JFK",-9,-42
"JFK",22,8
"JFK",4,-8
"JFK",16,9
"JFK",6,-17
"JFK",2,-13
"JFK",8,-9
"LGA",30,13
"JFK",13,-8
"JFK",44,17
"EWR",288,276
"LGA",28,22
"EWR",142,133
"JFK",115,101
"LGA",4,0
"LGA",-5,14
"LGA",-5,-19
"LGA",-4,-6
"LGA",0,-15
"LGA",3,-21
"LGA",6,-4
"LGA",-2,-13
"LGA",11,-4
"LGA",0,-8
"LGA",1,-19
"LGA",-4,-22
"LGA",9,-13
"LGA",6,-18
"LGA",21,22
"LGA",21,28
"LGA",108,93
"EWR",-5,-24
"EWR",-5,-15
"EWR",-8,-22
"EWR",-4,-16
"EWR",11,-6
"EWR",-4,-18
"EWR",2,-22
"EWR",-1,-15
"EWR",-1,-24
"EWR",-2,-20
"EWR",4,1
"EWR",-5,-19
"EWR",-2,-13
"EWR",-3,-8
"EWR",4,-14
"EWR",-1,-21
"EWR",36,48
"EWR",5,-17
"EWR",-7,0
"EWR",18,-9
"EWR",-3,-40
"EWR",25,9
"EWR",-7,37
"EWR",-2,10
"LGA",-8,3
"EWR",-7,10
"EWR",-6,-31
"LGA",-3,-17
"EWR",-3,-26
"EWR",-3,-35
"EWR",-2,7
"JFK",-7,-9
"LGA",-3,-23
"JFK",-7,-14
"LGA",-1,1
"LGA",-7,-6
"EWR",-1,-17
"LGA",2,13
"LGA",-4,-2
"JFK",-5,-11
"EWR",7,-2
"LGA",3,26
"LGA",-7,-25
"JFK",-4,11
"JFK",1,1
"EWR",-4,-3
"JFK",-1,-10
"LGA",-5,-17
"EWR",2,-10
"EWR",0,36
"LGA",-3,1
"LGA",13,45
"EWR",-5,-6
"EWR",-5,-6
"JFK",-3,-18
"JFK",-3,-21
"JFK",6,-18
"JFK",-10,-12
"LGA",5,-12
"EWR",6,-2
"LGA",-6,-25
"LGA",-9,-7
"JFK",52,49
"JFK",-7,-20
"EWR",29,-3
"LGA",-6,-11
"LGA",0,-18
"JFK",-2,-11
"EWR",2,11
"JFK",10,11
"EWR",4,-5
"LGA",2,-25
"LGA",-4,2
"EWR",-3,-19
"LGA",-8,-10
"LGA",-6,-14
"LGA",25,25
"LGA",-5,-5
"LGA",-10,-16
"EWR",-5,-7
"EWR",42,11
"EWR",11,5
"JFK",12,5
"LGA",-2,-24
"EWR",1,2
"LGA",-1,-10
"EWR",-3,-7
"JFK",-9,-33
"LGA",-9,-11
"EWR",26,10
"JFK",-9,-17
"LGA",-5,-13
"JFK",-4,-1
"LGA",-7,-16
"JFK",6,17
"LGA",1,-3
"JFK",12,18
"LGA",-8,-20
"JFK",14,-12
"JFK",48,63
"JFK",0,-1
"JFK",-2,-10
"JFK",-6,-18
"LGA",30,17
"LGA",2,-13
"LGA",-3,-14
"JFK",-6,-11
"LGA",-5,-23
"LGA",-3,-8
"LGA",-5,-10
"LGA",-5,-22
"EWR",-5,-17
"JFK",5,-10
"EWR",94,98
"EWR",-2,-2
"EWR",3,-11
"EWR",4,-6
"JFK",68,71
"EWR",-4,-13
"JFK",20,17
"JFK",18,21
"EWR",0,20
"EWR",6,4
"JFK",24,30
"EWR",-2,-23
"EWR",-2,-9
"EWR",11,12
"EWR",-2,-10
"EWR",2,5
"EWR",-11,-8
"EWR",-6,-45
"EWR",-5,-11
"EWR",0,-10
